"Age Group","EV ownership Yes","EV ownership No","Total","Gender"
"18-24",0.2,"99.8","100","Male"
"25-34",2,"98","100","Male"
"35-44",0.2,"99.8","100","Male"
"45-54",2.4,"97.6","100","Male"
"55-64",2.2,"97.8","100","Male"
"65-74",1,"99","100","Male"
"75+",0.8,"99.2","100","Male"
"18-24",0.4,"99.6","100","Female"
"25-34",1.2,"98.8","100","Female"
"35-44",1.6,"98.4","100","Female"
"45-54",1.2,"98.8","100","Female"
"55-64",2.2,"97.8","100","Female"
"65-74",3.2,"96.8","100","Female"
"75+",0.2,"99.8","100","Female"
